start,end,file,Amblycorypha alexanderi_Clicker Round-winged Katydid,Certhia americana_Brown Creeper
0,3,20240331_152100.WAV,,
3,6,20240331_152100.WAV,,
6,9,20240331_152100.WAV,,
9,12,20240331_152100.WAV,,
12,15,20240331_152100.WAV,,
15,18,20240331_152100.WAV,,
18,21,20240331_152100.WAV,,
21,24,20240331_152100.WAV,,
24,27,20240331_152100.WAV,,
27,30,20240331_152100.WAV,,
30,33,20240331_152100.WAV,,
33,36,20240331_152100.WAV,,
36,39,20240331_152100.WAV,,
39,42,20240331_152100.WAV,,
42,45,20240331_152100.WAV,,
45,48,20240331_152100.WAV,,
48,51,20240331_152100.WAV,,
51,54,20240331_152100.WAV,,
54,55,20240331_152100.WAV,,
0,3,20240331_152300.WAV,,
3,6,20240331_152300.WAV,,
6,9,20240331_152300.WAV,,
9,12,20240331_152300.WAV,,
12,15,20240331_152300.WAV,,
15,18,20240331_152300.WAV,,
18,21,20240331_152300.WAV,,
21,24,20240331_152300.WAV,,
24,27,20240331_152300.WAV,,
27,30,20240331_152300.WAV,,
30,33,20240331_152300.WAV,,
33,36,20240331_152300.WAV,,
36,39,20240331_152300.WAV,,
39,42,20240331_152300.WAV,,
42,45,20240331_152300.WAV,,
45,48,20240331_152300.WAV,,
48,51,20240331_152300.WAV,,
51,54,20240331_152300.WAV,,
54,55,20240331_152300.WAV,,
0,3,20240331_150700.WAV,,
3,6,20240331_150700.WAV,,
6,9,20240331_150700.WAV,,
9,12,20240331_150700.WAV,,
12,15,20240331_150700.WAV,,
15,18,20240331_150700.WAV,,
18,21,20240331_150700.WAV,,
21,24,20240331_150700.WAV,,
24,27,20240331_150700.WAV,,
27,30,20240331_150700.WAV,,
30,33,20240331_150700.WAV,,
33,36,20240331_150700.WAV,,
36,39,20240331_150700.WAV,0.402741373,
39,42,20240331_150700.WAV,,
42,45,20240331_150700.WAV,,
45,48,20240331_150700.WAV,,
48,51,20240331_150700.WAV,,
51,54,20240331_150700.WAV,,
54,55,20240331_150700.WAV,,
0,3,20240331_151800.WAV,,
3,6,20240331_151800.WAV,,
6,9,20240331_151800.WAV,,
9,12,20240331_151800.WAV,,
12,15,20240331_151800.WAV,,
15,18,20240331_151800.WAV,,
18,21,20240331_151800.WAV,,
21,24,20240331_151800.WAV,,
24,27,20240331_151800.WAV,,
27,30,20240331_151800.WAV,,
30,33,20240331_151800.WAV,,
33,36,20240331_151800.WAV,,
36,39,20240331_151800.WAV,,
39,42,20240331_151800.WAV,,
42,45,20240331_151800.WAV,,
45,48,20240331_151800.WAV,,
48,51,20240331_151800.WAV,,
51,54,20240331_151800.WAV,,
54,55,20240331_151800.WAV,,
0,3,20240331_152500.WAV,,
3,6,20240331_152500.WAV,,
6,9,20240331_152500.WAV,,
9,12,20240331_152500.WAV,,
12,15,20240331_152500.WAV,,
15,18,20240331_152500.WAV,,
18,21,20240331_152500.WAV,,
21,24,20240331_152500.WAV,,
24,27,20240331_152500.WAV,,0.411157995
27,30,20240331_152500.WAV,,0.503916085
30,33,20240331_152500.WAV,,
33,36,20240331_152500.WAV,,0.574356854
36,39,20240331_152500.WAV,,
39,42,20240331_152500.WAV,,
42,45,20240331_152500.WAV,,0.520545661
45,48,20240331_152500.WAV,,
48,51,20240331_152500.WAV,,
51,54,20240331_152500.WAV,,0.738288999
54,55,20240331_152500.WAV,,
0,3,20240331_152200.WAV,,
3,6,20240331_152200.WAV,,
6,9,20240331_152200.WAV,,
9,12,20240331_152200.WAV,,
12,15,20240331_152200.WAV,,
15,18,20240331_152200.WAV,,
18,21,20240331_152200.WAV,,
21,24,20240331_152200.WAV,,
24,27,20240331_152200.WAV,,
27,30,20240331_152200.WAV,,
30,33,20240331_152200.WAV,,
33,36,20240331_152200.WAV,,
36,39,20240331_152200.WAV,,
39,42,20240331_152200.WAV,,
42,45,20240331_152200.WAV,,
45,48,20240331_152200.WAV,,
48,51,20240331_152200.WAV,,
51,54,20240331_152200.WAV,,
54,55,20240331_152200.WAV,,
0,3,20240331_152000.WAV,,
3,6,20240331_152000.WAV,,
6,9,20240331_152000.WAV,,
9,12,20240331_152000.WAV,,
12,15,20240331_152000.WAV,,
15,18,20240331_152000.WAV,,
18,21,20240331_152000.WAV,,
21,24,20240331_152000.WAV,,
24,27,20240331_152000.WAV,,
27,30,20240331_152000.WAV,,
30,33,20240331_152000.WAV,,
33,36,20240331_152000.WAV,,
36,39,20240331_152000.WAV,,
39,42,20240331_152000.WAV,,
42,45,20240331_152000.WAV,,
45,48,20240331_152000.WAV,,
48,51,20240331_152000.WAV,,
51,54,20240331_152000.WAV,,
54,55,20240331_152000.WAV,,
0,3,20240331_152400.WAV,,
3,6,20240331_152400.WAV,,
6,9,20240331_152400.WAV,,
9,12,20240331_152400.WAV,,
12,15,20240331_152400.WAV,,
15,18,20240331_152400.WAV,,
18,21,20240331_152400.WAV,,
21,24,20240331_152400.WAV,,
24,27,20240331_152400.WAV,,
27,30,20240331_152400.WAV,,
30,33,20240331_152400.WAV,,
33,36,20240331_152400.WAV,,
36,39,20240331_152400.WAV,,
39,42,20240331_152400.WAV,,
42,45,20240331_152400.WAV,,
45,48,20240331_152400.WAV,,
48,51,20240331_152400.WAV,,
51,54,20240331_152400.WAV,,
54,55,20240331_152400.WAV,,
0,3,20240331_151900.WAV,,
3,6,20240331_151900.WAV,,
6,9,20240331_151900.WAV,,
9,12,20240331_151900.WAV,,
12,15,20240331_151900.WAV,,
15,18,20240331_151900.WAV,,
18,21,20240331_151900.WAV,,
21,24,20240331_151900.WAV,,
24,27,20240331_151900.WAV,,
27,30,20240331_151900.WAV,,
30,33,20240331_151900.WAV,,
33,36,20240331_151900.WAV,,
36,39,20240331_151900.WAV,,
39,42,20240331_151900.WAV,,
42,45,20240331_151900.WAV,,
45,48,20240331_151900.WAV,,
48,51,20240331_151900.WAV,,
51,54,20240331_151900.WAV,,
54,55,20240331_151900.WAV,,
0,3,20240331_151700.WAV,,
3,6,20240331_151700.WAV,,
6,9,20240331_151700.WAV,,
9,12,20240331_151700.WAV,,
12,15,20240331_151700.WAV,,
15,18,20240331_151700.WAV,,
18,21,20240331_151700.WAV,,
21,24,20240331_151700.WAV,,
24,27,20240331_151700.WAV,,
27,30,20240331_151700.WAV,,
30,33,20240331_151700.WAV,,
33,36,20240331_151700.WAV,,
36,39,20240331_151700.WAV,,
39,42,20240331_151700.WAV,,
42,45,20240331_151700.WAV,,
45,48,20240331_151700.WAV,,
48,51,20240331_151700.WAV,,
51,54,20240331_151700.WAV,,
54,55,20240331_151700.WAV,,
0,3,20240331_151500.WAV,,
3,6,20240331_151500.WAV,,
6,9,20240331_151500.WAV,,
9,12,20240331_151500.WAV,,
12,15,20240331_151500.WAV,,
15,18,20240331_151500.WAV,,
18,21,20240331_151500.WAV,,
21,24,20240331_151500.WAV,,
24,27,20240331_151500.WAV,,
27,30,20240331_151500.WAV,,
30,33,20240331_151500.WAV,,
33,36,20240331_151500.WAV,,
36,39,20240331_151500.WAV,,
39,42,20240331_151500.WAV,,
42,45,20240331_151500.WAV,,
45,48,20240331_151500.WAV,,
48,51,20240331_151500.WAV,,
51,54,20240331_151500.WAV,,
54,55,20240331_151500.WAV,,
0,3,20240331_151100.WAV,,
3,6,20240331_151100.WAV,,
6,9,20240331_151100.WAV,,
9,12,20240331_151100.WAV,,
12,15,20240331_151100.WAV,,
15,18,20240331_151100.WAV,,
18,21,20240331_151100.WAV,,
21,24,20240331_151100.WAV,,
24,27,20240331_151100.WAV,,
27,30,20240331_151100.WAV,,
30,33,20240331_151100.WAV,,
33,36,20240331_151100.WAV,,
36,39,20240331_151100.WAV,,
39,42,20240331_151100.WAV,,
42,45,20240331_151100.WAV,,
45,48,20240331_151100.WAV,,
48,51,20240331_151100.WAV,,
51,54,20240331_151100.WAV,,
54,55,20240331_151100.WAV,,
0,3,20240331_150800.WAV,,
3,6,20240331_150800.WAV,,
6,9,20240331_150800.WAV,,
9,12,20240331_150800.WAV,,
12,15,20240331_150800.WAV,,
15,18,20240331_150800.WAV,,
18,21,20240331_150800.WAV,,
21,24,20240331_150800.WAV,,
24,27,20240331_150800.WAV,,
27,30,20240331_150800.WAV,,
30,33,20240331_150800.WAV,,
33,36,20240331_150800.WAV,,
36,39,20240331_150800.WAV,,
39,42,20240331_150800.WAV,,
42,45,20240331_150800.WAV,,
45,48,20240331_150800.WAV,,
48,51,20240331_150800.WAV,,
51,54,20240331_150800.WAV,,
54,55,20240331_150800.WAV,,
0,3,20240331_151300.WAV,,
3,6,20240331_151300.WAV,,
6,9,20240331_151300.WAV,,
9,12,20240331_151300.WAV,,
12,15,20240331_151300.WAV,,
15,18,20240331_151300.WAV,,
18,21,20240331_151300.WAV,,
21,24,20240331_151300.WAV,,
24,27,20240331_151300.WAV,,
27,30,20240331_151300.WAV,,
30,33,20240331_151300.WAV,,
33,36,20240331_151300.WAV,,
36,39,20240331_151300.WAV,,
39,42,20240331_151300.WAV,,
42,45,20240331_151300.WAV,,
45,48,20240331_151300.WAV,,
48,51,20240331_151300.WAV,,
51,54,20240331_151300.WAV,,
54,55,20240331_151300.WAV,,
0,3,20240331_150643.WAV,,
3,6,20240331_150643.WAV,,
6,9,20240331_150643.WAV,,
9,12,20240331_150643.WAV,,
0,3,20240331_151400.WAV,,
3,6,20240331_151400.WAV,,
6,9,20240331_151400.WAV,,
9,12,20240331_151400.WAV,,
12,15,20240331_151400.WAV,,
15,18,20240331_151400.WAV,,
18,21,20240331_151400.WAV,,
21,24,20240331_151400.WAV,,
24,27,20240331_151400.WAV,,
27,30,20240331_151400.WAV,,
30,33,20240331_151400.WAV,,
33,36,20240331_151400.WAV,,
36,39,20240331_151400.WAV,,
39,42,20240331_151400.WAV,,
42,45,20240331_151400.WAV,,
45,48,20240331_151400.WAV,,
48,51,20240331_151400.WAV,,
51,54,20240331_151400.WAV,,
54,55,20240331_151400.WAV,,
0,3,20240331_151600.WAV,,
3,6,20240331_151600.WAV,,
6,9,20240331_151600.WAV,,
9,12,20240331_151600.WAV,,
12,15,20240331_151600.WAV,,
15,18,20240331_151600.WAV,,
18,21,20240331_151600.WAV,,
21,24,20240331_151600.WAV,,
24,27,20240331_151600.WAV,,
27,30,20240331_151600.WAV,,
30,33,20240331_151600.WAV,,
33,36,20240331_151600.WAV,,
36,39,20240331_151600.WAV,,
39,42,20240331_151600.WAV,,
42,45,20240331_151600.WAV,,
45,48,20240331_151600.WAV,,
48,51,20240331_151600.WAV,,
51,54,20240331_151600.WAV,,
54,55,20240331_151600.WAV,,
0,3,20240331_151200.WAV,,
3,6,20240331_151200.WAV,,
6,9,20240331_151200.WAV,,
9,12,20240331_151200.WAV,,
12,15,20240331_151200.WAV,,
15,18,20240331_151200.WAV,,
18,21,20240331_151200.WAV,,
21,24,20240331_151200.WAV,,
24,27,20240331_151200.WAV,,
27,30,20240331_151200.WAV,,
30,33,20240331_151200.WAV,,
33,36,20240331_151200.WAV,,
36,39,20240331_151200.WAV,,
39,42,20240331_151200.WAV,,
42,45,20240331_151200.WAV,,
45,48,20240331_151200.WAV,,
48,51,20240331_151200.WAV,,
51,54,20240331_151200.WAV,,
54,55,20240331_151200.WAV,,
0,3,20240331_151000.WAV,,
3,6,20240331_151000.WAV,,
6,9,20240331_151000.WAV,,
9,12,20240331_151000.WAV,,
12,15,20240331_151000.WAV,,
15,18,20240331_151000.WAV,,
18,21,20240331_151000.WAV,,
21,24,20240331_151000.WAV,,
24,27,20240331_151000.WAV,,
27,30,20240331_151000.WAV,,
30,33,20240331_151000.WAV,,
33,36,20240331_151000.WAV,,
36,39,20240331_151000.WAV,,
39,42,20240331_151000.WAV,,
42,45,20240331_151000.WAV,,
45,48,20240331_151000.WAV,,
48,51,20240331_151000.WAV,,
51,54,20240331_151000.WAV,,
54,55,20240331_151000.WAV,,
0,3,20240331_150900.WAV,,
3,6,20240331_150900.WAV,,
6,9,20240331_150900.WAV,,
9,12,20240331_150900.WAV,,
12,15,20240331_150900.WAV,,
15,18,20240331_150900.WAV,,
18,21,20240331_150900.WAV,,
21,24,20240331_150900.WAV,,
24,27,20240331_150900.WAV,,
27,30,20240331_150900.WAV,,
30,33,20240331_150900.WAV,,
33,36,20240331_150900.WAV,,
36,39,20240331_150900.WAV,,
39,42,20240331_150900.WAV,,
42,45,20240331_150900.WAV,,
45,48,20240331_150900.WAV,,
48,51,20240331_150900.WAV,,
51,54,20240331_150900.WAV,,
54,55,20240331_150900.WAV,,